"filename", "language", "YAML", "TypeScript", "Docker", "TypeScript JSX", "Markdown", "JSON", "MS SQL", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\courses\[courseId]\progress\route.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\opportunities\[id]\route.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\auth\_components\SignoutButton.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 35, 2, 9, 46
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\opportunity\[id]\layout.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\opportunity\[id]\loading.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\opportunity\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 13, 68
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\sentry-test\_components\sentry-test-client.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 10, 53
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\sentry-test\page.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 8, 33
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 361, 0, 0, 0, 0, 0, 1, 19, 381
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\MobileMenu.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\PremiumHeaderClient.tsx", "TypeScript JSX", 0, 0, 0, 167, 0, 0, 0, 0, 0, -5, 17, 179
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\PremiumMobileMenu.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\ai-search-page-enhanced.tsx", "TypeScript JSX", 0, 0, 0, 93, 0, 0, 0, 0, 0, 4, 16, 113
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\chat-message.tsx", "TypeScript JSX", 0, 0, 0, -32, 0, 0, 0, 0, 0, -3, -3, -38
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\loading\ai-thinking-orb.tsx", "TypeScript JSX", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 13, 177
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\loading\index.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\loading\loading-state-overlay.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 6, 47
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\loading\search-button-loader.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\loading\shimmer-card-grid.tsx", "TypeScript JSX", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 9, 76
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\loading\stage-timeline.ts", "TypeScript", 0, 183, 0, 0, 0, 0, 0, 0, 0, 1, 17, 201
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\loading\thinking-stage-indicator.tsx", "TypeScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 0, 2, 12, 96
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\scholarship-card-enhanced.tsx", "TypeScript JSX", 0, 0, 0, 171, 0, 0, 0, 0, 0, 6, 11, 188
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\scholarship-card.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\scholarship-modal-enhanced.tsx", "TypeScript JSX", 0, 0, 0, 449, 0, 0, 0, 0, 0, 12, 28, 489
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\scholarship-modal.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 1, 6
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\search-hero-enhanced.tsx", "TypeScript JSX", 0, 0, 0, 227, 0, 0, 0, 0, 0, 11, 17, 255
