"filename", "language", "Markdown", "TypeScript", "JSON", "MS SQL", "Skill", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\admin\courses\[courseId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 3, 82
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\admin\courses\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 39
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\courses\[[...path]]\route-handlers.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 5, 75
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\courses\[[...path]]\route.test.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 0, 8, 69
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\courses\[courseId]\certificate\route.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\v1\courses\[courseId]\enroll\application\route.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 10, 75
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\v1\courses\[courseId]\enroll\application\status\route.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\v1\courses\_application-route-helpers.ts", "TypeScript", 0, 110, 0, 0, 0, 0, 0, 0, 18, 128
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\auth\signin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\auth\signup\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\auth\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 464, 0, 0, 26, 490
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 14, 1, 3, 18
"c:\Users\dell\Documents\ScholarX\V2\web\src\app\sentry-test\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\courses\course-application-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 838, 0, 0, 68, 906
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\courses\course-application-status.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 9, 124
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\courses\course-detail-sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\courses\enroll-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 5, 67
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ui\sign-in-card-2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, -4, 30
